ID Cliente,Zona,País,Tipo de producto,ID Pedido,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total
C3105,África,Lebanon,Doméstico,310540425,4668,668.27,502.54,3119484.36,2345856.72
C2211,Asia,Myanmar,Frutas,221146476,1011,9.33,6.92,9432.63,6996.12
C1312,Asia,Vietnam,Ropa,131271874,5120,109.28,35.84,559513.6,183500.8
C6003,África,Jordan,Frutas,600340449,2935,9.33,6.92,27383.55,20310.2
C9080,Australia y Oceanía,Palau,Material de oficina,908088529,2430,651.21,524.96,1582440.3,1275652.8
C4045,Centroamérica y Caribe,Antigua and Barbuda ,Cereales,404564940,8611,205.7,117.11,1771282.7,1008434.21
C7601,Australia y Oceanía,Papua New Guinea,Cuidado personal,760131013,8513,81.73,56.67,695767.49,482431.71
C1154,Centroamérica y Caribe,El Salvador,Ropa,115460574,6205,109.28,35.84,678082.4,222387.2
C7315,África,Republic of the Congo,Bebida,731539952,7783,47.45,31.79,369303.35,247421.57
C4396,Australia y Oceanía,Vanuatu,Cárnicos,439667975,6379,421.89,364.69,2691236.31,2326357.51
C2914,Asia,Bangladesh,Ropa,291455972,7154,109.28,35.84,781789.12,256399.36
C5088,África,Burundi,Cereales,508827769,2299,205.7,117.11,472904.3,269235.89
C9340,África,South Sudan,Verduras,934019696,6039,154.06,90.93,930368.34,549126.27
C5795,África,Mozambique,Bebida,579580581,9628,47.45,31.79,456848.6,306074.12
C7783,Centroamérica y Caribe,Saint Kitts and Nevis ,Cárnicos,778371751,6353,421.89,364.69,2680267.17,2316875.57
C2335,África,Rwanda,Verduras,233567035,6531,154.06,90.93,1006165.86,593863.83
C8686,África,Rwanda,Bebida,868652760,2510,47.45,31.79,119099.5,79792.9
C1774,Europa,Moldova ,Verduras,177427756,3671,154.06,90.93,565554.26,333804.03
C6740,Europa,Austria,Cereales,674003350,1424,205.7,117.11,292916.8,166764.64
C4428,Europa,Spain,Ropa,442803370,4212,109.28,35.84,460287.36,150958.08
C7885,Asia,China,Alimento infantil,788564145,2509,255.28,159.42,640497.52,399984.78
C3863,África,Qatar,Cosméticos,386334502,3819,437.2,263.33,1669666.8,1005657.27
C2314,Europa,Georgia,Cuidado personal,231475770,7679,81.73,56.67,627604.67,435168.93
C4896,Asia,Kazakhstan,Doméstico,489661777,656,668.27,502.54,438385.12,329666.24
C9468,África,Namibia,Cuidado personal,946878850,1348,81.73,56.67,110172.04,76391.16
C5594,Centroamérica y Caribe,Jamaica,Cárnicos,559425818,5386,421.89,364.69,2272299.54,1964220.34
C6039,África,Syria,Verduras,603914010,431,154.06,90.93,66399.86,39190.83
C6272,África,Tanzania,Frutas,627267253,1174,9.33,6.92,10953.42,8124.08
C6967,África,Angola,Alimento infantil,696721875,4340,255.28,159.42,1107915.2,691882.8
C9498,Asia,China,Cuidado personal,949826705,3684,81.73,56.67,301093.32,208772.28
C2444,Europa,Hungary,Cuidado personal,244443070,4991,81.73,56.67,407914.43,282839.97
C2087,Europa,Norway,Doméstico,208744800,1080,668.27,502.54,721731.6,542743.2
C2912,Australia y Oceanía,Australia,Cárnicos,291218221,6798,421.89,364.69,2868008.22,2479162.62
C9106,África,Nigeria,Doméstico,910662162,4025,668.27,502.54,2689786.75,2022723.5
C3061,Asia,Thailand,Material de oficina,306187951,6674,651.21,524.96,4346175.54,3503583.04
C3872,Asia,Taiwan,Frutas,387219417,5685,9.33,6.92,53041.05,39340.2
C8834,Asia,India,Verduras,883492887,4033,154.06,90.93,621323.98,366720.69
C6950,Europa,Romania,Bebida,695057189,1723,47.45,31.79,81756.35,54774.17
C1422,Australia y Oceanía,East Timor,Cosméticos,142273652,790,437.2,263.33,345388,208030.7
C5158,Europa,Bosnia and Herzegovina,Cereales,515816104,303,205.7,117.11,62327.1,35484.33
C9266,Europa,Ireland,Cuidado personal,926670873,1359,81.73,56.67,111071.07,77014.53
C5561,Europa,Croatia,Doméstico,556136786,2089,668.27,502.54,1396016.03,1049806.06
C9058,África,Iraq,Alimento infantil,905825173,2653,255.28,159.42,677257.84,422941.26
C8476,Europa,Malta,Material de oficina,847659862,245,651.21,524.96,159546.45,128615.2
C6738,Europa,Ireland,Cárnicos,673877179,4087,421.89,364.69,1724264.43,1490488.03
C7470,África,Madagascar,Alimento infantil,747025954,435,255.28,159.42,111046.8,69347.7
C1499,Europa,Austria,Cosméticos,149967515,7575,437.2,263.33,3311790,1994724.75
C7358,África,Sierra Leone,Cuidado personal,735875689,824,81.73,56.67,67345.52,46696.08
C3782,Europa,Netherlands,Material de oficina,378236806,7531,651.21,524.96,4904262.51,3953473.76
C6208,Europa,Croatia,Cosméticos,620849692,2075,437.2,263.33,907190,546409.75
C8278,Centroamérica y Caribe,Trinidad and Tobago,Snacks,827825677,869,152.58,97.44,132592.02,84675.36
C4335,Asia,South Korea,Doméstico,433588588,7353,668.27,502.54,4913789.31,3695176.62
C2928,Australia y Oceanía,Samoa ,Cárnicos,292874753,7003,421.89,364.69,2954495.67,2553924.07
C4307,Europa,Albania,Material de oficina,430733001,2322,651.21,524.96,1512109.62,1218957.12
C4925,África,Cape Verde,Frutas,492524659,7846,9.33,6.92,73203.18,54294.32
C1939,Europa,Italy,Bebida,193923556,5145,47.45,31.79,244130.25,163559.55
C6709,Europa,Hungary,Bebida,670916020,7815,47.45,31.79,370821.75,248438.85
C4298,Asia,Maldives,Alimento infantil,429800879,6486,255.28,159.42,1655746.08,1033998.12
C2971,África,Mali,Doméstico,297189462,3821,668.27,502.54,2553459.67,1920205.34
C2700,África,Yemen,Cuidado personal,270005595,9511,81.73,56.67,777334.03,538988.37
C8654,Asia,North Korea,Snacks,865485608,5279,152.58,97.44,805469.82,514385.76
C8711,Asia,Uzbekistan,Cereales,871178328,9882,205.7,117.11,2032727.4,1157281.02
C4949,Europa,Latvia,Verduras,494945085,4104,154.06,90.93,632262.24,373176.72
C9149,Asia,Singapore,Snacks,914959704,5764,152.58,97.44,879471.12,561644.16
C2297,Europa,Lithuania,Doméstico,229708516,4709,668.27,502.54,3146883.43,2366460.86
C2079,África,Senegal,Bebida,207990348,7821,47.45,31.79,371106.45,248629.59
C4389,África,South Sudan,Verduras,438916528,4009,154.06,90.93,617626.54,364538.37
C5819,Europa,Bulgaria,Alimento infantil,581910884,9217,255.28,159.42,2352915.76,1469374.14
C8167,África,Seychelles ,Cárnicos,816709744,1417,421.89,364.69,597818.13,516765.73
C4933,Centroamérica y Caribe,Saint Kitts and Nevis ,Doméstico,493361937,5616,668.27,502.54,3753004.32,2822264.64
C3822,Centroamérica y Caribe,Saint Vincent and the Grenadines,Alimento infantil,382228791,8848,255.28,159.42,2258717.44,1410548.16
C4239,Europa,Andorra,Cosméticos,423984134,5182,437.2,263.33,2265570.4,1364576.06
C1796,África,Mali,Cárnicos,179614293,716,421.89,364.69,302073.24,261118.04
C1804,África,Togo,Cuidado personal,180418097,8579,81.73,56.67,701161.67,486171.93
C5780,Asia,Thailand,Cárnicos,578006875,3934,421.89,364.69,1659715.26,1434690.46
C6943,Europa,Moldova ,Doméstico,694304454,8972,668.27,502.54,5995718.44,4508788.88
C3715,Centroamérica y Caribe,Trinidad and Tobago,Alimento infantil,371547162,7917,255.28,159.42,2021051.76,1262128.14
C4222,Asia,Japan,Bebida,422283828,2024,47.45,31.79,96038.8,64342.96
C3793,África,Central African Republic,Cereales,379375779,4578,205.7,117.11,941694.6,536129.58
C7459,África,Azerbaijan,Cuidado personal,745996844,5899,81.73,56.67,482125.27,334296.33
C7456,África,Mauritania,Frutas,745633351,8333,9.33,6.92,77746.89,57664.36
C5720,Europa,Portugal,Snacks,572084128,1261,152.58,97.44,192403.38,122871.84
C9394,África,Liberia,Bebida,939460504,6095,47.45,31.79,289207.75,193760.05
C8321,África,South Sudan,Frutas,832186305,1276,9.33,6.92,11905.08,8829.92
C6549,África,Cameroon,Frutas,654997861,7277,9.33,6.92,67894.41,50356.84
C8829,Centroamérica y Caribe,Cuba,Cárnicos,882943999,1605,421.89,364.69,677133.45,585327.45
C7113,África,Malawi,Frutas,711386048,3795,9.33,6.92,35407.35,26261.4
C3059,Australia y Oceanía,Tuvalu,Bebida,305997836,415,47.45,31.79,19691.75,13192.85
C3527,África,Burundi,Cárnicos,352765691,62,421.89,364.69,26157.18,22610.78
C7079,África,Liberia,Verduras,707988440,8367,154.06,90.93,1289020.02,760811.31
C8482,Asia,Turkmenistan,Verduras,848277413,2992,154.06,90.93,460947.52,272062.56
C3205,África,Uganda,Doméstico,320556437,8628,668.27,502.54,5765833.56,4335915.12
C9920,África,Lebanon,Alimento infantil,992061841,1999,255.28,159.42,510304.72,318680.58
C3003,Europa,Switzerland,Material de oficina,300342452,6861,651.21,524.96,4467951.81,3601750.56
C7032,África,Kuwait,Verduras,703259599,8998,154.06,90.93,1386231.88,818188.14
C2289,Asia,India,Ropa,228987109,1229,109.28,35.84,134305.12,44047.36
C1260,África,Angola,Cereales,126011312,8402,205.7,117.11,1728291.4,983958.22
C8131,Asia,Uzbekistan,Bebida,813131034,2397,47.45,31.79,113737.65,76200.63
C5294,Europa,Latvia,Cuidado personal,529457604,7126,81.73,56.67,582407.98,403830.42
C2844,África,Ghana,Cárnicos,284414851,3530,421.89,364.69,1489271.7,1287355.7
C7077,Europa,Poland,Bebida,707739102,4583,47.45,31.79,217463.35,145693.57
C6994,Asia,Mongolia,Cosméticos,699479186,290,437.2,263.33,126788,76365.7
C5799,Asia,Vietnam,Cereales,579996430,2687,205.7,117.11,552715.9,314674.57
C7399,Europa,United Kingdom,Cereales,739964663,842,205.7,117.11,173199.4,98606.62
C2903,Australia y Oceanía,Vanuatu,Ropa,290370213,5854,109.28,35.84,639725.12,209807.36
C2125,África,Ethiopia,Frutas,212511909,5851,9.33,6.92,54589.83,40488.92
C2080,África,Niger,Frutas,208001077,996,9.33,6.92,9292.68,6892.32
C9487,África,Central African Republic,Cuidado personal,948761546,8480,81.73,56.67,693070.4,480561.6
C9270,África,Cape Verde,Snacks,927029645,7527,152.58,97.44,1148469.66,733430.88
C5053,Norteamérica,United States of America,Cuidado personal,505354201,4393,81.73,56.67,359039.89,248951.31
C5665,África,Sudan,Frutas,566596543,7363,9.33,6.92,68696.79,50951.96
C2639,África,Republic of the Congo,Material de oficina,263930499,1755,651.21,524.96,1142873.55,921304.8
C1708,Australia y Oceanía,Federated States of Micronesia,Frutas,170842397,4917,9.33,6.92,45875.61,34025.64
C9311,África,South Sudan,Frutas,931131064,1229,9.33,6.92,11466.57,8504.68
C1089,África,Cape Verde,Frutas,108907830,7102,9.33,6.92,66261.66,49145.84
C7385,Australia y Oceanía,Palau,Doméstico,738596522,5979,668.27,502.54,3995586.33,3004686.66
C9749,África,Bahrain,Material de oficina,974933469,3333,651.21,524.96,2170482.93,1749691.68
C8429,África,Algeria,Material de oficina,842967498,1670,651.21,524.96,1087520.7,876683.2
C8880,África,Botswana,Cuidado personal,888059937,5525,81.73,56.67,451558.25,313101.75
C8258,África,Seychelles ,Doméstico,825884616,6466,668.27,502.54,4321033.82,3249423.64
C8924,África,The Gambia,Material de oficina,892427861,8091,651.21,524.96,5268940.11,4247451.36
C4939,África,Guinea-Bissau,Material de oficina,493988502,1030,651.21,524.96,670746.3,540708.8
C4571,África,Pakistan,Verduras,457177865,7945,154.06,90.93,1224006.7,722438.85
C7789,África,Mauritania,Cárnicos,778919780,8527,421.89,364.69,3597456.03,3109711.63
C1764,Asia,Thailand,Material de oficina,176450574,4501,651.21,524.96,2931096.21,2362844.96
C1373,África,Afghanistan,Cárnicos,137319076,4621,421.89,364.69,1949553.69,1685232.49
C8693,África,The Gambia,Ropa,869386613,9673,109.28,35.84,1057065.44,346680.32
C8508,África,Oman,Cárnicos,850827014,7476,421.89,364.69,3154049.64,2726422.44
C8801,África,Burkina Faso,Snacks,880126607,7876,152.58,97.44,1201720.08,767437.44
C9260,África,Cameroon,Ropa,926084220,7755,109.28,35.84,847466.4,277939.2
C5778,África,Burkina Faso,Cereales,577811181,6024,205.7,117.11,1239136.8,705470.64
C3947,Europa,Serbia,Snacks,394731318,8624,152.58,97.44,1315849.92,840322.56
C5565,África,Mauritius ,Doméstico,556580960,3529,668.27,502.54,2358324.83,1773463.66
C4134,África,Liberia,Material de oficina,413408935,5745,651.21,524.96,3741201.45,3015895.2
C7355,Europa,Latvia,Cuidado personal,735576570,2308,81.73,56.67,188632.84,130794.36
C5637,Asia,China,Ropa,563757693,7284,109.28,35.84,795995.52,261058.56
C3589,Australia y Oceanía,New Zealand,Verduras,358938634,6773,154.06,90.93,1043448.38,615868.89
C6524,África,Sierra Leone,Snacks,652418220,3904,152.58,97.44,595672.32,380405.76
C6958,Europa,Bulgaria,Material de oficina,695807778,3839,651.21,524.96,2499995.19,2015321.44
C7110,África,Somalia,Material de oficina,711031138,8769,651.21,524.96,5710460.49,4603374.24
C5403,Europa,Spain,Bebida,540324628,2919,47.45,31.79,138506.55,92795.01
C9962,Europa,Cyprus,Cereales,996237075,7544,205.7,117.11,1551800.8,883477.84
C7116,África,Namibia,Ropa,711629807,5929,109.28,35.84,647921.12,212495.36
C1896,Norteamérica,Greenland,Cereales,189676654,8392,205.7,117.11,1726234.4,982787.12
C4538,África,Rwanda,Doméstico,453863942,7281,668.27,502.54,4865673.87,3658993.74
C7979,Centroamérica y Caribe,The Bahamas,Material de oficina,797990500,1977,651.21,524.96,1287442.17,1037845.92
C1361,Europa,Germany,Bebida,136167657,3890,47.45,31.79,184580.5,123663.1
C1528,Europa,Cyprus,Bebida,152819240,1464,47.45,31.79,69466.8,46540.56
C3526,Europa,Luxembourg,Snacks,352681577,5171,152.58,97.44,788991.18,503862.24
C3108,Australia y Oceanía,Tuvalu,Cereales,310803496,2516,205.7,117.11,517541.2,294648.76
C1225,Europa,Bulgaria,Cosméticos,122546327,3036,437.2,263.33,1327339.2,799469.88
C8535,Asia,Bangladesh,Frutas,853583896,3298,9.33,6.92,30770.34,22822.16
C4899,Centroamérica y Caribe,El Salvador,Cuidado personal,489902532,1901,81.73,56.67,155368.73,107729.67
C6878,Asia,China,Verduras,687801063,4474,154.06,90.93,689264.44,406820.82
C9238,Asia,Mongolia,Cárnicos,923890817,8678,421.89,364.69,3661161.42,3164779.82
C7450,Australia y Oceanía,Solomon Islands,Frutas,745095622,9207,9.33,6.92,85901.31,63712.44
C2186,África,Mauritania,Cosméticos,218651807,2783,437.2,263.33,1216727.6,732847.39
C3821,Asia,South Korea,Verduras,382108199,3162,154.06,90.93,487137.72,287520.66
C9933,Asia,Myanmar,Material de oficina,993326127,6130,651.21,524.96,3991917.3,3218004.8
C9804,África,Botswana,Cereales,980479419,4503,205.7,117.11,926267.1,527346.33
C6920,Europa,Portugal,Snacks,692054402,3131,152.58,97.44,477727.98,305084.64
C5468,Europa,Spain,Verduras,546849906,3894,154.06,90.93,599909.64,354081.42
C5839,África,Cote d'Ivoire,Bebida,583977258,703,47.45,31.79,33357.35,22348.37
C9128,Europa,Russia,Alimento infantil,912860286,4499,255.28,159.42,1148504.72,717230.58
C3632,Australia y Oceanía,Federated States of Micronesia,Ropa,363235318,8257,109.28,35.84,902324.96,295930.88
C5351,África,The Gambia,Cárnicos,535151183,1982,421.89,364.69,836185.98,722815.58
C8489,Europa,Luxembourg,Frutas,848969209,7710,9.33,6.92,71934.3,53353.2
C7953,África,Liberia,Frutas,795363223,4507,9.33,6.92,42050.31,31188.44
C3853,África,Burundi,Cosméticos,385319554,3474,437.2,263.33,1518832.8,914808.42
C6001,África,Syria,Cereales,600137031,2739,205.7,117.11,563412.3,320764.29
C2414,Norteamérica,United States of America,Ropa,241426980,2463,109.28,35.84,269156.64,88273.92
C8811,Asia,Japan,Alimento infantil,881113231,9840,255.28,159.42,2511955.2,1568692.8
C1114,Asia,Laos,Frutas,111432111,4093,9.33,6.92,38187.69,28323.56
C9949,Europa,Germany,Verduras,994932448,1476,154.06,90.93,227392.56,134212.68
C8144,Norteamérica,Greenland,Cuidado personal,814475572,276,81.73,56.67,22557.48,15640.92
C5232,Centroamérica y Caribe,Jamaica,Cárnicos,523235309,5810,421.89,364.69,2451180.9,2118848.9
C6946,Europa,Switzerland,Verduras,694697988,5427,154.06,90.93,836083.62,493477.11
C1726,Europa,Sweden,Material de oficina,172662436,3507,651.21,524.96,2283793.47,1841034.72
C1212,África,Liberia,Bebida,121239984,6460,47.45,31.79,306527,205363.4
C8748,Australia y Oceanía,Kiribati,Alimento infantil,874854457,7730,255.28,159.42,1973314.4,1232316.6
C5882,Europa,Malta,Cárnicos,588242185,2789,421.89,364.69,1176651.21,1017120.41
C1864,Asia,Philippines,Cuidado personal,186451995,4144,81.73,56.67,338689.12,234840.48
C2148,África,Comoros,Alimento infantil,214845216,6329,255.28,159.42,1615667.12,1008969.18
C3890,Europa,Liechtenstein,Doméstico,389095675,912,668.27,502.54,609462.24,458316.48
C9451,África,Lebanon,Cereales,945189702,1492,205.7,117.11,306904.4,174728.12
C3894,Norteamérica,Greenland,Cereales,389426124,8699,205.7,117.11,1789384.3,1018739.89
C4484,África,Chad,Cereales,448416268,5193,205.7,117.11,1068200.1,608152.23
C2190,Europa,Macedonia,Doméstico,219083964,668,668.27,502.54,446404.36,335696.72
C2186,África,United Arab Emirates,Cosméticos,218665540,6847,437.2,263.33,2993508.4,1803020.51
C1347,África,Qatar,Cereales,134709823,2485,205.7,117.11,511164.5,291018.35
C1750,África,Iraq,Verduras,175078141,8367,154.06,90.93,1289020.02,760811.31
C6179,Europa,Kosovo,Material de oficina,617944324,2312,651.21,524.96,1505597.52,1213707.52
C4617,Asia,Bhutan,Cosméticos,461794698,4168,437.2,263.33,1822249.6,1097559.44
C5754,Centroamérica y Caribe,Cuba,Ropa,575428092,815,109.28,35.84,89063.2,29209.6
C5479,Norteamérica,Mexico,Alimento infantil,547955834,1163,255.28,159.42,296890.64,185405.46
C9388,África,Cote d'Ivoire,Bebida,938801753,1156,47.45,31.79,54852.2,36749.24
C1277,África,Nigeria,Cereales,127702176,8767,205.7,117.11,1803371.9,1026703.37
C1647,Australia y Oceanía,Vanuatu,Material de oficina,164705932,9000,651.21,524.96,5860890,4724640
C9201,África,Kuwait,Verduras,920174348,8893,154.06,90.93,1370055.58,808640.49
C5347,África,Namibia,Cárnicos,534781253,2512,421.89,364.69,1059787.68,916101.28
C3695,África,Egypt,Verduras,369512975,5955,154.06,90.93,917427.3,541488.15
C9556,África,Swaziland,Frutas,955668342,2354,9.33,6.92,21962.82,16289.68
C6448,Centroamérica y Caribe,Antigua and Barbuda ,Cárnicos,644858682,6869,421.89,364.69,2897962.41,2505055.61
C5590,Asia,Sri Lanka,Verduras,559007823,1692,154.06,90.93,260669.52,153853.56
C5403,Europa,Liechtenstein,Bebida,540352094,1047,47.45,31.79,49680.15,33284.13
C5014,África,Angola,Material de oficina,501440322,6189,651.21,524.96,4030338.69,3248977.44
C8751,Asia,Brunei,Doméstico,875133836,404,668.27,502.54,269981.08,203026.16
C3646,Australia y Oceanía,Samoa ,Ropa,364606463,4010,109.28,35.84,438212.8,143718.4
C8933,Australia y Oceanía,Marshall Islands,Frutas,893344533,9354,9.33,6.92,87272.82,64729.68
C8551,África,Democratic Republic of the Congo,Frutas,855146872,5818,9.33,6.92,54281.94,40260.56
C9641,Australia y Oceanía,Tonga,Cosméticos,964124810,4811,437.2,263.33,2103369.2,1266880.63
C2047,África,Mozambique,Snacks,204702174,4777,152.58,97.44,728874.66,465470.88
C7816,África,Kuwait,Cárnicos,781615293,6189,421.89,364.69,2611077.21,2257066.41
C4699,Europa,Romania,Bebida,469912993,6552,47.45,31.79,310892.4,208288.08
C2649,África,South Sudan,Cosméticos,264956605,5402,437.2,263.33,2361754.4,1422508.66
C3324,Asia,Malaysia,Snacks,332419955,9307,152.58,97.44,1420062.06,906874.08
C4582,Centroamérica y Caribe,Costa Rica,Snacks,458289372,6864,152.58,97.44,1047309.12,668828.16
C4988,Europa,Croatia,Cuidado personal,498863685,3705,81.73,56.67,302809.65,209962.35
C8307,Asia,Nepal,Bebida,830754220,7490,47.45,31.79,355400.5,238107.1
C1008,Asia,Tajikistan,Alimento infantil,100884807,2911,255.28,159.42,743120.08,464071.62
C1764,Europa,Serbia,Cárnicos,176491773,6692,421.89,364.69,2823287.88,2440505.48
C2951,África,Angola,Cárnicos,295123946,2589,421.89,364.69,1092273.21,944182.41
C2146,Asia,Japan,Cuidado personal,214642655,6386,81.73,56.67,521927.78,361894.62
C6632,Europa,Iceland,Cárnicos,663221728,903,421.89,364.69,380966.67,329315.07
C1893,Europa,Cyprus,Ropa,189347493,986,109.28,35.84,107750.08,35338.24
C1118,Australia y Oceanía,East Timor,Bebida,111818778,8516,47.45,31.79,404084.2,270723.64
C4697,Asia,Tajikistan,Material de oficina,469746911,7405,651.21,524.96,4822210.05,3887328.8
C4725,África,Somalia,Doméstico,472555720,8594,668.27,502.54,5743112.38,4318828.76
C7499,Europa,Spain,Ropa,749981534,5057,109.28,35.84,552628.96,181242.88
C2020,Europa,Sweden,Cereales,202073180,6799,205.7,117.11,1398554.3,796230.89
C9491,África,Ethiopia,Doméstico,949191987,5857,668.27,502.54,3914057.39,2943376.78
C6820,Asia,Turkmenistan,Cuidado personal,682011783,1297,81.73,56.67,106003.81,73500.99
C3115,Europa,Malta,Ropa,311518895,4219,109.28,35.84,461052.32,151208.96
C8190,África,Malawi,Cosméticos,819012153,2751,437.2,263.33,1202737.2,724420.83
C1061,Europa,Czech Republic,Material de oficina,106102883,7056,651.21,524.96,4594937.76,3704117.76
C6447,Europa,Netherlands,Cárnicos,644714915,4325,421.89,364.69,1824674.25,1577284.25
C9270,Europa,Sweden,Bebida,927084577,3783,47.45,31.79,179503.35,120261.57
C4157,África,Saudi Arabia,Verduras,415760695,1684,154.06,90.93,259437.04,153126.12
C8936,África,Turkey,Cereales,893604600,6314,205.7,117.11,1298789.8,739432.54
C6137,Centroamérica y Caribe,Dominican Republic,Ropa,613790118,2991,109.28,35.84,326856.48,107197.44
C1498,Asia,Uzbekistan,Cuidado personal,149803578,9063,81.73,56.67,740718.99,513600.21
C1454,África,Kuwait,Snacks,145443809,8910,152.58,97.44,1359487.8,868190.4
C8648,Australia y Oceanía,Federated States of Micronesia,Ropa,864822137,8943,109.28,35.84,977291.04,320517.12
C8423,Australia y Oceanía,Samoa ,Material de oficina,842362391,2606,651.21,524.96,1697053.26,1368045.76
C9328,África,Eritrea,Snacks,932800900,5370,152.58,97.44,819354.6,523252.8
C2611,Asia,Singapore,Alimento infantil,261186492,9742,255.28,159.42,2486937.76,1553069.64
C2728,África,Mauritania,Doméstico,272880494,257,668.27,502.54,171745.39,129152.78
C6835,Asia,Bhutan,Ropa,683556735,8483,109.28,35.84,927022.24,304030.72
C8292,África,Republic of the Congo,Bebida,829201543,8018,47.45,31.79,380454.1,254892.22
C1161,Europa,Germany,Bebida,116113746,9493,47.45,31.79,450442.85,301782.47
C2709,África,Tunisia ,Cereales,270904672,5567,205.7,117.11,1145131.9,651951.37
C3904,Asia,Myanmar,Cereales,390498149,5935,205.7,117.11,1220829.5,695047.85
C9921,Europa,Romania,Cosméticos,992130506,2319,437.2,263.33,1013866.8,610662.27
C8633,Europa,Greece,Snacks,863350570,3474,152.58,97.44,530062.92,338506.56
C2120,África,Benin,Cosméticos,212019670,187,437.2,263.33,81756.4,49242.71
C2163,Centroamérica y Caribe,Jamaica,Material de oficina,216311633,274,651.21,524.96,178431.54,143839.04
C7747,Europa,Liechtenstein,Doméstico,774712789,3585,668.27,502.54,2395747.95,1801605.9
C9560,Norteamérica,Greenland,Alimento infantil,956021964,6999,255.28,159.42,1786704.72,1115780.58
C3493,Europa,Romania,Cosméticos,349350488,9428,437.2,263.33,4121921.6,2482675.24
C4141,Asia,China,Cosméticos,414122188,6813,437.2,263.33,2978643.6,1794067.29
C4300,Australia y Oceanía,East Timor,Doméstico,430073392,7129,668.27,502.54,4764096.83,3582607.66
C6472,Europa,Albania,Cuidado personal,647252929,5380,81.73,56.67,439707.4,304884.6
C9360,Asia,Laos,Frutas,936022126,8602,9.33,6.92,80256.66,59525.84
